Train Name,Train Number,Year,Month,Food Item,Region,Quantity Sold,Total Sale
Suvidha Express,12201,2023,10,Bhajji,Ahmedabad,20,4899.16
Duronto Express,12051,2022,8,Coffee,Bhubaneswar,87,7072.36
Vande Bharat Express,12301,2023,12,Coffee,Bhopal,56,5138.81
Humsafar Express,12595,2021,6,Jalebi,Chennai,98,239.61
Suvidha Express,12595,2022,12,Sugarcane Juice,Mumbai,72,920.01
Rajdhani Express,82355,2023,11,Kachori,Raipur,16,7109.43
Jan Shatabdi Express,12201,2023,4,Thukpa,Chandigarh,88,4015.92
Suvidha Express,12201,2022,3,Chai,Guwahati,40,7720.16
Vande Bharat Express,12001,2023,1,Juice,Nagpur,97,6417.93
Humsafar Express,12909,2023,11,Samosa,Pune,64,5763.62
Duronto Express,12201,2021,3,Thukpa,Shimla,34,8842.52
Vande Bharat Express,22119,2021,12,Jhalmuri,Amritsar,81,371.32
Vande Bharat Express,12909,2021,9,Thukpa,Nagpur,39,1658.41
Jan Shatabdi Express,22119,2021,5,Soup,Nagpur,45,6176.19
Garib Rath,12595,2021,6,Bhutta,Chennai,59,799.73
Humsafar Express,12909,2021,5,Falooda,Mumbai,23,6374.42
Tejas Express,12201,2022,1,Lemonade,Shimla,38,9639.01
Vande Bharat Express,12051,2021,10,Ice Cream,Shimla,36,8625.29
Garib Rath,82355,2023,1,Coconut Water,Bangalore,59,5854.12
Tejas Express,22119,2022,4,Kachori,Nagpur,45,8771.3
Humsafar Express,12909,2023,3,Thukpa,Guwahati,43,1285.25
Sampark Kranti,12201,2021,11,Falooda,Bangalore,30,4542.87
Rajdhani Express,12909,2021,8,Lemonade,Amritsar,47,4292.42
Garib Rath,12201,2023,12,Vada Pav,Shimla,84,3404.65
Shatabdi Express,12201,2023,12,Bhajji,Chandigarh,88,168.02
Sampark Kranti,12201,2023,7,Coconut Water,Ahmedabad,85,8742.93
Rajdhani Express,12001,2022,11,Coconut Water,Mumbai,97,7652.11
Jan Shatabdi Express,82355,2021,7,Falooda,Ahmedabad,59,6450.34
Suvidha Express,12051,2023,8,Coconut Water,Guwahati,46,1407.49
Duronto Express,12051,2021,10,Jalebi,Bhopal,84,3806.6
Shatabdi Express,12909,2023,7,Bhajji,Amritsar,28,9063.45
Jan Shatabdi Express,12909,2021,10,Soup,Bhopal,10,6104.51
Humsafar Express,12201,2022,2,Sugarcane Juice,Pune,90,5974.38
Jan Shatabdi Express,12001,2021,4,Ice Cream,Nagpur,49,8955.64
Suvidha Express,12201,2023,11,Jalebi,Bhubaneswar,64,5554.92
Humsafar Express,12001,2021,6,Bhutta,Guwahati,89,5918.67
